Date,prec,tmax,tmin,tmean,qt
9/15/1990,32.7452,22.0035,15.2791,17.5475,5.71
9/16/1990,7.3279,22.219,14.3492,17.5774,5.37
9/17/1990,7.3279,22.1762,14.6137,17.5514,5.23
9/18/1990,0,22.254,14.8255,17.7917,6.11
9/19/1990,14.6558,21.2686,15.6104,17.7473,5.45
9/20/1990,29.3117,21.9545,14.1069,17.7821,4.4
9/21/1990,14.379,22.3169,14.2648,17.6633,3.69
9/22/1990,33.8247,21.0532,14.2909,17.0362,5.74
9/23/1990,8.007,22.2955,13.9127,17.4094,5.69
9/24/1990,10.8211,23.1353,14.3733,17.8482,5.53
9/25/1990,4.8281,22.869,14.1918,18.0585,5.45
9/26/1990,9.1437,23.1429,14.6528,18.1641,5.63
9/27/1990,12.7618,19.901,15.5937,17.4355,6.37
9/28/1990,14.2672,20.0238,15.2477,16.971,6.46
9/29/1990,14.2415,21.144,14.5512,17.24,5.26
9/30/1990,0,22.5604,14.7407,18.0457,6.03
10/1/1990,7.8807,22.5148,15.7622,18.361,5.61
10/2/1990,5.4312,21.7331,13.7836,17.3989,5.46
10/3/1990,17.2578,20.5077,14.773,17.3764,5.68
10/4/1990,31.2569,21.6312,14.6796,17.5194,6.1
10/5/1990,10.3525,20.6955,14.6017,16.9872,5.78
10/6/1990,0,20.8491,14.181,16.9361,8.45
10/7/1990,18.3975,21.1817,14.8443,17.1692,11.1
10/8/1990,18.3975,21.1056,14.4917,17.092,15
10/9/1990,55.1924,19.3686,15.4546,16.7496,19.3
10/10/1990,36.795,21.202,15.5835,17.6985,22.2
10/11/1990,35.4867,21.421,15.3468,17.9581,22.1
10/12/1990,35.4867,22.2097,14.8348,17.7331,23.1
10/13/1990,0,22.5108,15.1128,17.8858,20.9
10/14/1990,35.4867,23.1363,13.2718,17.8222,20.4
10/15/1990,31.0508,21.4472,15.641,17.6811,23.6
10/16/1990,67.4333,20.9933,15.1195,17.0409,24.8
10/17/1990,13.4867,20.5277,15.0037,17.1775,24.8
10/18/1990,0,21.4378,14.3748,17.292,21.7
10/19/1990,0,21.663,14.5975,17.5173,21
10/20/1990,13.4867,21.3362,14.5259,17.6545,20.2
10/21/1990,47.1345,22.5059,14.9876,18.0013,18.4
10/22/1990,0,21.3997,14.8178,17.2355,16.8
10/23/1990,31.423,21.5568,14.5688,17.3859,18.3
10/24/1990,35.912,22.9837,15.0989,17.8327,26.2
10/25/1990,0,23.4976,14.5529,18.0983,22.5
10/26/1990,0,21.0379,14.9877,17.3946,20.9
10/27/1990,0,21.5582,15.4987,17.3502,21.6
10/28/1990,0,20.9634,14.8129,17.2458,24.7
10/29/1990,0,22.6235,14.0066,17.3365,22.5
10/30/1990,0,20.4812,14.13,17.1269,19.9
10/31/1990,40.1387,20.8329,15.3188,17.6302,18.7
11/1/1990,60.3845,21.1245,15.3872,17.9242,18.4
11/2/1990,40.2564,21.2896,15.842,17.9414,20.6
11/3/1990,0,19.0004,15.5525,16.9263,32.2
11/4/1990,20.1282,19.9893,15.5789,17.1576,28.8
11/5/1990,23.0036,19.6763,15.2967,17.0062,28.2
11/6/1990,13.7296,21.9716,14.6997,17.4311,25.5
11/7/1990,0,23.1714,14.7993,18.3039,22.7
11/8/1990,0,20.2078,14.2756,17.1366,20.9
11/9/1990,12.0134,21.3378,15.5225,17.873,18.9
11/10/1990,12.0134,23.2515,15.4441,18.2932,17.8
11/11/1990,3.3027,22.7389,15.1777,18.1283,16.6
11/12/1990,7.6692,21.0763,15.6679,17.977,15.3
11/13/1990,8.352,23.0392,14.9794,18.0732,14.3
11/14/1990,11.1783,19.4983,16.2246,17.4639,14.5
11/15/1990,5.9702,20.5053,15.583,17.6088,15.5
11/16/1990,11.3919,19.2756,15.5158,17.2177,15.7
11/17/1990,52.3958,18.102,16.1552,16.9091,14.1
11/18/1990,10.661,19.1076,13.8564,16.3063,13.3
11/19/1990,0,22.568,13.8624,17.2607,12.6
11/20/1990,0,21.0702,13.6178,17.1339,11.1
11/21/1990,0,21.3604,15.0968,17.7705,10.2
11/22/1990,0,22.6348,13.6881,17.7429,9.96
11/23/1990,0,23.5742,13.1405,17.8487,9.31
